bigram,count,keyword,color
python r,1641,python,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
r python,1202,python,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
python sql,778,python,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
languages python,775,python,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
experience python,717,python,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
python java,453,java,"(0.21568627450980393, 0.49411764705882355, 0.7215686274509804)"
java scala,216,java,"(0.21568627450980393, 0.49411764705882355, 0.7215686274509804)"
java python,209,java,"(0.21568627450980393, 0.49411764705882355, 0.7215686274509804)"
scala java,183,java,"(0.21568627450980393, 0.49411764705882355, 0.7215686274509804)"
r java,160,java,"(0.21568627450980393, 0.49411764705882355, 0.7215686274509804)"
swift group,18,swift,"(0.30196078431372547, 0.6862745098039216, 0.2901960784313726)"
swift action,9,swift,"(0.30196078431372547, 0.6862745098039216, 0.2901960784313726)"
reality swift,8,swift,"(0.30196078431372547, 0.6862745098039216, 0.2901960784313726)"
subsidiary swift,6,swift,"(0.30196078431372547, 0.6862745098039216, 0.2901960784313726)"
group swift,6,swift,"(0.30196078431372547, 0.6862745098039216, 0.2901960784313726)"
lead data,585,lead,"(0.596078431372549, 0.3058823529411765, 0.6392156862745098)"
lead development,306,lead,"(0.596078431372549, 0.3058823529411765, 0.6392156862745098)"
lead team,289,lead,"(0.596078431372549, 0.3058823529411765, 0.6392156862745098)"
ability lead,268,lead,"(0.596078431372549, 0.3058823529411765, 0.6392156862745098)"
responsibilities lead,268,lead,"(0.596078431372549, 0.3058823529411765, 0.6392156862745098)"
data science,17113,science,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
computer science,7255,science,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
science related,1803,science,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
science data,1370,science,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
science engineering,1194,science,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
data science,17113,data,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
data analytics,5700,data,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
data scientist,5059,data,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
data analysis,4964,data,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
experience data,4231,data,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
java kotlin,10,kotlin,"(1.0, 0.4980392156862745, 0.0)"
kotlin python,5,kotlin,"(1.0, 0.4980392156862745, 0.0)"
kotlin java,3,kotlin,"(1.0, 0.4980392156862745, 0.0)"
swift kotlin,2,kotlin,"(1.0, 0.4980392156862745, 0.0)"
primarily kotlin,2,kotlin,"(1.0, 0.4980392156862745, 0.0)"
java scala,216,scala,"(1.0, 1.0, 0.2)"
scala java,183,scala,"(1.0, 1.0, 0.2)"
spark scala,129,scala,"(1.0, 1.0, 0.2)"
python scala,118,scala,"(1.0, 1.0, 0.2)"
go scala,114,scala,"(1.0, 1.0, 0.2)"
visualization developer,339,developer,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
developer experts,224,developer,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
developer expert,112,developer,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
software developer,64,developer,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
analytics developer,33,developer,"(0.8941176470588236, 0.10196078431372549, 0.10980392156862745)"
programming languages,1870,programming,"(1.0, 0.8509803921568627, 0.1843137254901961)"
statistical programming,674,programming,"(1.0, 0.8509803921568627, 0.1843137254901961)"
programming language,572,programming,"(1.0, 0.8509803921568627, 0.1843137254901961)"
programming skills,566,programming,"(1.0, 0.8509803921568627, 0.1843137254901961)"
experience programming,441,programming,"(1.0, 0.8509803921568627, 0.1843137254901961)"
python sql,778,sql,"(0.9882352941176471, 0.5529411764705883, 0.3843137254901961)"
sql server,690,sql,"(0.9882352941176471, 0.5529411764705883, 0.3843137254901961)"
sql python,605,sql,"(0.9882352941176471, 0.5529411764705883, 0.3843137254901961)"
using sql,596,sql,"(0.9882352941176471, 0.5529411764705883, 0.3843137254901961)"
experience sql,542,sql,"(0.9882352941176471, 0.5529411764705883, 0.3843137254901961)"
high level,569,level,"(0.4, 0.7607843137254902, 0.6470588235294118)"
experience level,302,level,"(0.4, 0.7607843137254902, 0.6470588235294118)"
skill level,255,level,"(0.4, 0.7607843137254902, 0.6470588235294118)"
level work,232,level,"(0.4, 0.7607843137254902, 0.6470588235294118)"
level experience,212,level,"(0.4, 0.7607843137254902, 0.6470588235294118)"
software development,1857,software,"(0.4, 0.7607843137254902, 0.6470588235294118)"
software engineering,1490,software,"(0.4, 0.7607843137254902, 0.6470588235294118)"
software hardware,639,software,"(0.4, 0.7607843137254902, 0.6470588235294118)"
experience software,590,software,"(0.4, 0.7607843137254902, 0.6470588235294118)"
managers software,562,software,"(0.4, 0.7607843137254902, 0.6470588235294118)"
relational database,343,database,"(0.4, 0.7607843137254902, 0.6470588235294118)"
database management,298,database,"(0.4, 0.7607843137254902, 0.6470588235294118)"
database design,215,database,"(0.4, 0.7607843137254902, 0.6470588235294118)"
experience database,161,database,"(0.4, 0.7607843137254902, 0.6470588235294118)"
database systems,149,database,"(0.4, 0.7607843137254902, 0.6470588235294118)"
europe region,89,region,"(0.4, 0.7607843137254902, 0.6470588235294118)"
region largest,89,region,"(0.4, 0.7607843137254902, 0.6470588235294118)"
geographic region,38,region,"(0.4, 0.7607843137254902, 0.6470588235294118)"
region knowledge,18,region,"(0.4, 0.7607843137254902, 0.6470588235294118)"
capital region,12,region,"(0.4, 0.7607843137254902, 0.6470588235294118)"
