ngram,count,keyword
python r,1641,python
r python,1202,python
python sql,778,python
languages python,775,python
experience python,717,python
python java,453,java
java scala,216,java
java python,209,java
scala java,183,java
r java,160,java
lead data,585,lead
lead development,306,lead
lead team,289,lead
ability lead,268,lead
responsibilities lead,268,lead
data science,17113,data
data analytics,5700,data
data scientist,5059,data
data analysis,4964,data
experience data,4231,data
data science,17113,science
computer science,7255,science
science related,1803,science
science data,1370,science
science engineering,1194,science
python sql,778,sql
sql server,690,sql
sql python,605,sql
using sql,596,sql
experience sql,542,sql
